Name,Date,Artist,ChannelId,Song,VideoId,Note
American Music Awards,2010/11/21,Justin Bieber,UCHkj014U2CQ2Nv0UZeYpE_A,,,Artist of the Year
American Music Awards,2010/11/21,Justin Bieber,UCHkj014U2CQ2Nv0UZeYpE_A,,,Favorite Pop Male Artist
American Music Awards,2010/11/21,Lady Gaga,UC07Kxew-cMIaykMOkzqHtBQ,,,Favorite Pop Female Artist
American Music Awards,2010/11/21,The Black Eyed Peas,,,,Favorite Pop Band
American Music Awards,2011/11/20,Taylor Swift,UCANLZYMidaCbLQFWXBC95Jg,,,Artist of the Year
American Music Awards,2011/11/20,Bruno Mars,,,,Favorite Pop Male Artist
American Music Awards,2011/11/20,Adele,UComP_epzeKzvBX156r6pm1Q,,,Favorite Pop Female Artist
American Music Awards,2011/11/20,Maroon 5,UCN1hnUccO4FD5WfM7ithXaw,,,Favorite Pop Band
American Music Awards,2012/11/18,Justin Bieber,UCHkj014U2CQ2Nv0UZeYpE_A,,,Artist of the Year
American Music Awards,2012/11/18,Justin Bieber,UCHkj014U2CQ2Nv0UZeYpE_A,,,Favorite Pop Male Artist
American Music Awards,2012/11/18,Katy Perry,UC-8Q-hLdECwQmaWNwXitYDw,,,Favorite Pop Female Artist
American Music Awards,2012/11/18,Maroon 5,UCN1hnUccO4FD5WfM7ithXaw,,,Favorite Pop Band
American Music Awards,2013/11/24,Taylor Swift,UCANLZYMidaCbLQFWXBC95Jg,,,Artist of the Year
American Music Awards,2013/11/24,Justin Timberlake,,,,Favorite Pop Male Artist
American Music Awards,2013/11/24,Taylor Swift,UCANLZYMidaCbLQFWXBC95Jg,,,Favorite Pop Female Artist
American Music Awards,2013/11/24,One Direction,UCbW18JZRgko_mOGm5er8Yzg,,,Favorite Pop Band
American Music Awards,2014/11/23,One Direction,UCbW18JZRgko_mOGm5er8Yzg,,,Artist of the Year
American Music Awards,2014/11/23,Sam Smith,,,,Favorite Pop Male Artist
American Music Awards,2014/11/23,Katy Perry,UC-8Q-hLdECwQmaWNwXitYDw,,,Favorite Pop Female Artist
American Music Awards,2014/11/23,One Direction,UCbW18JZRgko_mOGm5er8Yzg,,,Favorite Pop Band
American Music Awards,2015/11/22,One Direction,UCbW18JZRgko_mOGm5er8Yzg,,,Artist of the Year
American Music Awards,2015/11/22,Ed Sheeran,,,,Favorite Pop Male Artist
American Music Awards,2015/11/22,Ariana Grande,UC0VOyT2OCBKdQhF3BAbZ-1g,,,Favorite Pop Female Artist
American Music Awards,2015/11/22,One Direction,UCbW18JZRgko_mOGm5er8Yzg,,,Favorite Pop Band
American Music Awards,2016/11/20,Ariana Grande,UC0VOyT2OCBKdQhF3BAbZ-1g,,,Artist of the Year
